iteration,Single GPU_cost,2 GPUs_cost,4 GPUs_cost,6 GPUs_cost,8 GPUs_cost
0,2.9122052e7,2.912203e7,2.9122088e7,2.9122084e7,2.9122084e7
1,1.5159876e7,1.5159909e7,1.515996e7,1.5159952e7,1.5159951e7
2,5.975715e6,5.9741655e6,5.963625e6,5.965648e6,5.962984e6
3,697609.25,696543.6875,695755.75,695259.5,695241.625
4,134733.671875,134278.1875,134805.0,134796.078125,135040.625
5,28463.35546875,27819.267578125,28349.126953125,28274.244140625,28370.458984375
6,4664.71484375,4977.5830078125,4714.4736328125,5033.10498046875,4710.54541015625
7,1314.8582763671875,1459.591796875,1344.0220947265625,1506.77685546875,1355.554443359375
8,547.5191040039062,619.1625366210938,565.412841796875,641.2130126953125,575.4790649414062
9,229.51429748535156,249.26710510253906,223.52337646484375,258.302001953125,228.7149658203125
10,100.5904312133789,112.44251251220703,100.00906372070312,117.21014404296875,100.61859130859375
11,43.08060073852539,48.78155517578125,41.736812591552734,50.16456604003906,42.05966567993164
12,18.9381046295166,21.742237091064453,18.373382568359375,22.333297729492188,20.813758850097656
13,8.248602867126465,9.386628150939941,7.787371635437012,9.916688919067383,8.716985702514648
14,3.863335371017456,4.27858829498291,3.326204538345337,4.60933780670166,3.786870241165161
15,1.7411837577819824,1.9354406595230103,1.392018437385559,1.9326179027557373,1.677600622177124
16,0.8595190644264221,0.8943170309066772,0.6407127976417542,0.9084147810935974,0.7968310117721558
17,0.39143386483192444,0.4254949688911438,0.3050472140312195,0.39512568712234497,0.41825103759765625
18,0.19023267924785614,0.20371676981449127,0.1362667828798294,0.18433381617069244,0.19956761598587036
19,0.08540976792573929,0.09467561542987823,0.0660056546330452,0.08878504484891891,0.10794410854578018
20,0.046562254428863525,0.05188608914613724,0.03771950677037239,0.04599739611148834,0.05963433161377907
