iteration,Single GPU_T1_TnNR,Single GPU_T2_TnNR,2 GPUs_T1_TnNR,2 GPUs_T2_TnNR,4 GPUs_T1_TnNR,4 GPUs_T2_TnNR,6 GPUs_T1_TnNR,6 GPUs_T2_TnNR,8 GPUs_T1_TnNR,8 GPUs_T2_TnNR
0,0.0,6.837331875e6,0.0,6.837331875e6,0.0,6.837331875e6,0.0,6.837331875e6,0.0,6.837331875e6
1,210.9703460269504,136.9072382185194,210.96899583604602,136.90717591179742,210.970060772366,136.90641339619955,210.9706531100803,136.90851222144232,210.97000143263074,136.9071470896403
2,59.307517263624405,82.75587315029568,59.21462323930528,82.53208711412218,59.153623051113556,82.21196598476834,59.267210748460556,82.36337810092502,58.982162157694496,82.38401010301378
3,60.09950807359483,51.23645856645372,59.318290922376846,50.573089599609375,59.57344309488932,51.21995480855306,59.07909372117784,51.71811951531304,59.54776297675239,50.42776838938395
4,48.10756259494357,39.84162839253744,48.29178831312392,40.30294948154025,48.42417759365506,39.701752768622505,47.75130992465549,40.339897367689346,49.259290271335175,40.719904793633354
5,63.07267697652181,60.46885257297092,63.14472272660997,59.02836640675863,62.04508421156142,59.862079514397514,62.66430261400011,58.61808840433756,62.62815284729004,60.60873635609945
6,115.35547214084201,128.97934341430664,110.25780232747395,115.73662609524197,108.43966399298773,121.17124239603679,107.12300003899469,116.38980950249567,108.23528501722548,121.67260064019098
7,188.1055268181695,229.5152965121799,183.11359278361002,214.08371183607312,184.59259287516275,223.61201180352106,179.91439607408313,208.3020142449273,182.22574742635092,223.9738023546007
8,305.3660583496094,328.2814411587185,309.51210657755536,305.6181945800781,305.8428437974718,313.83047570122613,284.83937708536786,308.746154361301,299.5430136786567,326.5513203938802
9,485.3373506334093,603.0357309977213,493.18416086832684,586.6293046739366,479.6889885796441,548.148445977105,482.56722174750433,553.5869030422634,460.22577412923175,563.500973171658
10,734.6368111504448,780.308709886339,746.4933437771267,746.0927318996853,728.3233456081814,777.584359910753,769.3151533338759,699.1573706732856,719.1418957180447,690.6403961181641
11,1232.006352742513,1497.8106045193142,1235.8025122748481,1560.2433064778645,1230.9329257541233,1483.1580039130317,1209.2210337320964,1418.427225748698,1192.1549546983506,1433.4233729044597
12,1752.696797688802,1717.7399681939019,1751.6741282145183,1774.1135033501519,1842.6425374348958,1740.9568176269531,1773.0533905029297,1594.6891428629558,1703.2204030354817,1639.800793117947
13,3094.3040228949653,3643.82834370931,3130.3540852864585,3918.8587120903862,2952.3282945421006,3850.852947658963,3018.160403781467,3468.9581468370225,3006.8846842447915,3825.2569257948135
14,4092.467322455512,3384.8629048665366,4104.484920925564,3662.096845838759,4290.3296305338545,4082.5103827582466,3473.515892876519,3422.0987311469185,3818.863210042318,3478.337900797526
15,6792.141621907552,8671.836558024088,6990.819240993924,10156.394558376736,7325.262220594618,9512.80585055881,6874.281168619792,8129.969448513455,7234.545084635417,9057.92562866211
16,8426.430263943143,6667.489576551649,9156.295559353299,7562.58987765842,9876.980916341146,7478.997809516059,7481.291130913629,6237.037543402777,8485.944851345486,7525.884351942274
17,17142.427652994793,18768.200419108074,17417.823215060766,20715.49454074436,17484.2373046875,22460.583645290797,14969.550754123264,17059.206882052953,15260.204006618924,19980.76427544488
18,18581.226548936633,12599.045708550348,19369.658203125,14373.046820746527,27162.213134765625,18561.607869466145,16156.805989583334,11791.467827690973,18340.524576822918,15869.402235243055
19,33190.645128038195,37918.977647569445,33843.81437174479,41470.2646891276,39789.268934461805,42862.29345703125,27813.59738498264,33080.93400065104,26000.564887152777,25908.857503255207
20,39041.986002604164,24713.597113715277,40905.094401041664,24230.270697699652,44208.68972439236,28989.872450086805,34193.316786024305,22239.462782118055,32434.549153645832,28169.842854817707
