iteration,Single GPU_T1_RMSRE,Single GPU_T2_RMSRE,2 GPUs_T1_RMSRE,2 GPUs_T2_RMSRE,4 GPUs_T1_RMSRE,4 GPUs_T2_RMSRE,6 GPUs_T1_RMSRE,6 GPUs_T2_RMSRE,8 GPUs_T1_RMSRE,8 GPUs_T2_RMSRE
0,0.4163049061225964,0.6397181911548055,0.4163049061225964,0.6397181911548055,0.4163049061225964,0.6397181911548055,0.4163049061225964,0.6397181911548055,0.4163049061225964,0.6397181911548055
1,0.3197732990500145,0.24574986000487656,0.3197729895384155,0.24574877409377527,0.3197733674747987,0.2457494134968099,0.3197733785588238,0.24574938206390964,0.3197733528644553,0.24574934007210358
2,0.24028590550513937,0.2314579843954196,0.24030725649523269,0.23148499983770696,0.2402572247688752,0.23148430428600814,0.24023743391782768,0.23146193925312689,0.2402340758059427,0.23147459928542397
3,0.2484320899857913,0.39575487108426527,0.24837147804960039,0.3958124891963182,0.2482362233590348,0.3959590768427689,0.24813306165438145,0.39597695968279284,0.24817461486158665,0.3960293252824444
4,0.0661249709230796,0.42455304866793053,0.06564773007333194,0.42332830971982754,0.06624342609718314,0.4243554737157228,0.0662943835501415,0.4247050043914325,0.06623178214027524,0.42496011995281396
5,0.0295333289444265,0.17236003676604153,0.030275696893259953,0.17359092156592043,0.029754007762590212,0.17303993625842323,0.030233357027803588,0.17458377557184399,0.02970749320178253,0.17357441472678511
6,0.01867435373534202,0.08096038887517018,0.01942694383940072,0.08688366290656734,0.01866186269294854,0.08160129069811747,0.019848927981277267,0.08708004170060457,0.018768478733404623,0.08206039073748103
7,0.011494070126851795,0.06065744256940981,0.012510314900901973,0.06275794269447196,0.011654629207547352,0.06078287031916478,0.01261102459013756,0.06358586147724692,0.011746262827020947,0.061012516826285966
8,0.009328324768026737,0.03363021401288311,0.009834296194044828,0.03610289642252188,0.009485223280702589,0.034394474837219434,0.010045441892681632,0.03700654926009473,0.009559793023750785,0.03463663079621918
9,0.004733867410353466,0.02633290160116766,0.004947246405364023,0.027939922119935408,0.004614541141081209,0.026766335591145343,0.005104175633962288,0.02854382021454344,0.004697362699493225,0.027046840322847817
10,0.0043857387767657205,0.015337474394246774,0.004649989039410227,0.016216158698136307,0.00438511944832848,0.015122782308999393,0.004656252000038658,0.016604380648533597,0.004445943969659831,0.01515696227750919
11,0.002038302689688314,0.012204085264133475,0.002147342356717061,0.0129041720313015,0.001972293597092475,0.012137737511574929,0.002187217696570188,0.013167599742555866,0.0019890900749724343,0.012104805467340933
12,0.0019538006484436372,0.006866154557521896,0.0020978431958372434,0.007229146713979852,0.0019666788592888956,0.006544167394485601,0.0021294716788589664,0.007458069346662257,0.0020943379249535646,0.006822869243249402
13,0.0009026668126056718,0.005541971452818027,0.0009465798196854965,0.00583080307654099,0.0008434828200765146,0.0053234723019573256,0.0009759428977343189,0.006030050982147775,0.0008822802320462049,0.005519482899943101
14,0.0008865400965936594,0.0031587934495067803,0.0009340135658065694,0.0033187992491214803,0.0008686869435677261,0.002823040501277168,0.0009911530946915292,0.0033219727033687012,0.0008941205492713593,0.0030817159780682246
15,0.0004177769674091236,0.0025678056412749054,0.0004331890298644464,0.0027019844707775772,0.00036451300036502746,0.002302149139148378,0.00043376219578332903,0.002727332587716066,0.0004101744544854391,0.002502988521744986
16,0.0004147642479248127,0.0014898452263170934,0.00041033381307116273,0.0015635509024343524,0.0003618847260819499,0.001265010362834757,0.0004191050199657629,0.0015354179474771647,0.00039368291969705806,0.0015005835390392765
17,0.00019982929010337343,0.0012126520656331684,0.0002064963752575964,0.0012728955459533407,0.0001649307440386965,0.0010431427333376932,0.00019947179229065152,0.001257805063575897,0.00023411299820582588,0.001234800663749743
18,0.00019373357838665652,0.0007016409368153363,0.00019720560054216842,0.0007339945260127353,0.00016344915207415427,0.0006175934409967178,0.0001892463940553223,0.0007010509990772494,0.00017406643229436216,0.0008368381408728035
19,9.665090273533357e-5,0.0005747570997171537,9.918802454556899e-5,0.0006036527430075951,8.538590140122535e-5,0.0005079108683611134,9.927174008010223e-5,0.0005802248647583575,0.00010882487616566004,0.0006459752841750014
20,9.688346085380713e-5,0.0003465589111899463,9.731671409585741e-5,0.00038224479979154344,7.40269923579102e-5,0.0003302155030245588,8.301971270126912e-5,0.0003774211174914776,9.411872010275951e-5,0.0004454747218966587
