iteration,Single GPU_cost,2 GPUs_cost,4 GPUs_cost,6 GPUs_cost,8 GPUs_cost
0,3.0207292e7,3.0207274e7,3.0207332e7,3.0207328e7,3.020733e7
1,1.6149181e7,1.6149174e7,1.6149214e7,1.6149208e7,1.6149204e7
2,6.934985e6,6.933231e6,6.9391835e6,6.93306e6,6.9360805e6
3,1.3977265e6,1.392551125e6,1.399823e6,1.412076125e6,1.394733125e6
4,868992.25,867424.8125,869473.6875,871580.1875,868243.25
5,708493.9375,707343.25,708221.75,710565.6875,708284.1875
6,669555.9375,669244.375,669860.375,669070.25,669141.5
7,660390.8125,660188.75,660544.875,659998.8125,659146.75
8,654592.6875,654693.625,654840.6875,654730.0625,653986.0
9,652217.6875,652266.5,652408.125,652389.125,651834.0625
10,650703.875,650840.75,650855.1875,650910.625,650521.5625
11,649885.6875,649988.5625,649886.9375,649905.5,649765.125
12,649383.75,649346.0,649331.3125,649384.0,649232.0
13,648968.75,648957.5,649008.8125,648973.5,648867.625
14,648661.625,648676.875,648669.9375,648687.375,648615.625
15,648484.5,648481.75,648459.875,648482.25,648415.0625
16,648334.8125,648297.8125,648306.625,648341.75,648289.0
17,648239.8125,648198.0,648188.625,648235.5625,648183.75
18,648131.375,648109.5625,648102.125,648141.875,648090.5
19,648046.3125,648050.9375,648034.0,648066.0,648028.0
20,647995.125,647972.625,647988.375,647994.5,647968.625
