iteration,Single GPU_T1_TnNR,Single GPU_T2_TnNR,2 GPUs_T1_TnNR,2 GPUs_T2_TnNR,4 GPUs_T1_TnNR,4 GPUs_T2_TnNR,6 GPUs_T1_TnNR,6 GPUs_T2_TnNR,8 GPUs_T1_TnNR,8 GPUs_T2_TnNR
0,0.0,6.837331875e6,0.0,6.837331875e6,0.0,6.837331875e6,0.0,6.837331875e6,0.0,6.837331875e6
1,52.28212123446994,25.58157952626546,52.28198136223687,25.581470595465767,52.28224245707194,25.581605699327255,52.282227198282875,25.58160792456733,52.28226661682129,25.581607712639702
2,19.91845152113173,12.303324063618978,19.88873471154107,12.300559573703342,19.865341504414875,12.302313062879774,19.97051535712348,12.299942334493002,19.950893296135796,12.301816516452366
3,13.868328306410048,10.769699838426378,13.409893671671549,10.100935830010307,13.534468650817871,10.707028494940865,14.07681549919976,10.399501588609484,13.466937171088325,10.002468427022299
4,7.3435845375061035,5.981589105394152,7.291901429494222,5.908788998921712,7.26198869281345,5.9712868266635475,7.610818703969319,5.901693291134304,7.309202088250054,5.765785376230876
5,5.64502665731642,5.412244982189602,5.595419036017524,5.307480070326063,5.625373231040107,5.362634049521552,5.665176047219171,5.400415235095554,5.618539651234944,5.306679699156019
6,5.4091883235507545,5.055052042007446,5.350759744644165,4.97276684972975,5.45431653658549,5.126336230172051,5.38728141784668,5.0455118550194635,5.357578727934095,4.935078700383504
7,5.265265067418416,4.9314939975738525,5.2787260214487715,4.930202166239421,5.261300510830349,4.927242014143202,5.250684632195367,4.912490685780843,5.213523785273234,4.861710945765178
8,5.1663366423712835,4.806639273961385,5.1365673542022705,4.774569935268826,5.1625844902462426,4.821292956670125,5.135337750116984,4.797025786505805,5.127508375379774,4.768728335698445
9,5.094172583685981,4.766219774881999,5.105063729816013,4.7853540314568415,5.087208244535658,4.751824723349677,5.094039969974094,4.769402556949192,5.078464402092828,4.743533399369982
10,5.049198892381456,4.712068796157837,5.0408660305870905,4.706208599938287,5.042949014239841,4.705698940489027,5.040016439225939,4.706614679760403,5.0361659791734485,4.7075365914238825
11,5.018606901168823,4.698798179626465,5.025979545381334,4.706345399220784,5.008779976103041,4.6886100504133434,5.021151569154528,4.696772336959839,5.005459149678548,4.685713820987278
12,4.995570050345527,4.671949677997166,4.985315243403117,4.657964812384711,4.991207043329875,4.668455865648058,4.985931820339626,4.6667640209198,4.9840536912282305,4.663078573015001
13,4.981819656160143,4.657418251037598,4.982197708553738,4.662872791290283,4.973749028311835,4.654474470350477,4.97566917207506,4.658615827560425,4.974030362235175,4.655080742306179
14,4.960801468955146,4.645286401112874,4.960935804578993,4.643142753177219,4.963488552305433,4.647024949391683,4.95999550819397,4.643146382437812,4.95622369978163,4.640040397644043
15,4.957157055536906,4.63952985074785,4.954686005910237,4.642111606068081,4.951165994008382,4.634822342130873,4.955110285017225,4.638300551308526,4.953005022472805,4.635067674848768
16,4.946073876486884,4.631935768657261,4.9393859439426,4.624064008394877,4.948001835081312,4.631403790579902,4.941011534796821,4.626323117150201,4.94514799118042,4.6271354092492
17,4.944051398171319,4.62886557314131,4.943054649564955,4.628876010576884,4.93756906191508,4.6230256292555065,4.941717068354289,4.625451061460707,4.941116306516859,4.625172138214111
18,4.93776257832845,4.622045728895399,4.928722275627984,4.614494986004299,4.939454264110989,4.619020501772563,4.935388406117757,4.617514808972676,4.936773061752319,4.616344915495978
19,4.933122899797228,4.617005202505323,4.932128323449029,4.618416666984558,4.929223087098864,4.615077985657586,4.931299633449978,4.616295880741543,4.930912945005629,4.616796188884312
20,4.92775985929701,4.612375842200385,4.925939983791775,4.613540132840474,4.930424928665161,4.614448282453749,4.928873380025228,4.612329443295796,4.93095146285163,4.610263665517171
